gene1	gene2	pathway	interaction
CAMK4	PDE3A	hsa04024	--|
CAMK4	PDE3B	hsa04024	--|
CAMK4	PDE4A	hsa04024	--|
CAMK4	PDE4B	hsa04024	--|
CAMK4	PDE4C	hsa04024	--|
CAMK4	PDE4D	hsa04024	--|
CAMK2A	PDE10A	hsa04024	--|
CAMK2A	PDE3A	hsa04024	--|
CAMK2A	PDE3B	hsa04024	--|
CAMK2A	PDE4A	hsa04024	--|
CAMK2A	PDE4B	hsa04024	--|
CAMK2A	PDE4C	hsa04024	--|
CAMK2A	PDE4D	hsa04024	--|
CAMK2B	PDE10A	hsa04024	--|
CAMK2B	PDE3A	hsa04024	--|
CAMK2B	PDE3B	hsa04024	--|
CAMK2B	PDE4A	hsa04024	--|
CAMK2B	PDE4B	hsa04024	--|
CAMK2B	PDE4C	hsa04024	--|
CAMK2B	PDE4D	hsa04024	--|
CAMK2D	PDE10A	hsa04024	--|
CAMK2D	PDE3A	hsa04024	--|
CAMK2D	PDE3B	hsa04024	--|
CAMK2D	PDE4A	hsa04024	--|
CAMK2D	PDE4B	hsa04024	--|
CAMK2D	PDE4C	hsa04024	--|
CAMK2D	PDE4D	hsa04024	--|
CAMK2G	PDE10A	hsa04024	--|
CAMK2G	PDE3A	hsa04024	--|
CAMK2G	PDE3B	hsa04024	--|
CAMK2G	PDE4A	hsa04024	--|
CAMK2G	PDE4B	hsa04024	--|
CAMK2G	PDE4C	hsa04024	--|
CAMK2G	PDE4D	hsa04024	--|
BRAF	MAP2K1	hsa04024	--gt
BRAF	MAP2K2	hsa04024	--gt
PRKACA	RAF1	hsa04024	--|
