gene1	gene2	pathway	interaction	type
PRKACG	RYR2	hsa04024	--gt	P
PRKACA	GRIN3A	hsa04024	--gt	P
PRKACA	GRIN3B	hsa04024	--gt	P
PRKACA	GRIN1	hsa04024	--gt	P
PRKACA	GRIN2A	hsa04024	--gt	P
PRKACA	GRIN2B	hsa04024	--gt	P
PRKACA	GRIN2C	hsa04024	--gt	P
PRKACA	GRIN2D	hsa04024	--gt	P
PRKACB	GRIN3A	hsa04024	--gt	P
PRKACB	GRIN3B	hsa04024	--gt	P
PRKACB	GRIN1	hsa04024	--gt	P
PRKACB	GRIN2A	hsa04024	--gt	P
PRKACB	GRIN2B	hsa04024	--gt	P
PRKACB	GRIN2C	hsa04024	--gt	P
PRKACB	GRIN2D	hsa04024	--gt	P
PRKACG	GRIN3A	hsa04024	--gt	P
PRKACG	GRIN3B	hsa04024	--gt	P
PRKACG	GRIN1	hsa04024	--gt	P
PRKACG	GRIN2A	hsa04024	--gt	P
PRKACG	GRIN2B	hsa04024	--gt	P
PRKACG	GRIN2C	hsa04024	--gt	P
PRKACG	GRIN2D	hsa04024	--gt	P
PRKACA	GRIA1	hsa04024	--gt	P
PRKACA	GRIA2	hsa04024	--gt	P
PRKACA	GRIA3	hsa04024	--gt	P
PRKACA	GRIA4	hsa04024	--gt	P
PRKACB	GRIA1	hsa04024	--gt	P
PRKACB	GRIA2	hsa04024	--gt	P
PRKACB	GRIA3	hsa04024	--gt	P
PRKACB	GRIA4	hsa04024	--gt	P
PRKACG	GRIA1	hsa04024	--gt	P
PRKACG	GRIA2	hsa04024	--gt	P
PRKACG	GRIA3	hsa04024	--gt	P
PRKACG	GRIA4	hsa04024	--gt	P
PRKACA	CFTR	hsa04024	--gt	P
PRKACB	CFTR	hsa04024	--gt	P
PRKACG	CFTR	hsa04024	--gt	P
PRKACA	FXYD1	hsa04024	--gt	P
PRKACB	FXYD1	hsa04024	--gt	P
PRKACG	FXYD1	hsa04024	--gt	P
PRKACA	SLC9A1	hsa04024	--gt	P
PRKACB	SLC9A1	hsa04024	--gt	P
PRKACG	SLC9A1	hsa04024	--gt	P
PRKACA	ATP2B1	hsa04024	--gt	P
PRKACA	ATP2B2	hsa04024	--gt	P
PRKACA	ATP2B3	hsa04024	--gt	P
PRKACA	ATP2B4	hsa04024	--gt	P
PRKACB	ATP2B1	hsa04024	--gt	P
PRKACB	ATP2B2	hsa04024	--gt	P
PRKACB	ATP2B3	hsa04024	--gt	P
PRKACB	ATP2B4	hsa04024	--gt	P
PRKACG	ATP2B1	hsa04024	--gt	P
PRKACG	ATP2B2	hsa04024	--gt	P
PRKACG	ATP2B3	hsa04024	--gt	P
PRKACG	ATP2B4	hsa04024	--gt	P
PRKACA	CACNA1C	hsa04024	--gt	P
PRKACA	CACNA1D	hsa04024	--gt	P
PRKACA	CACNA1F	hsa04024	--gt	P
PRKACA	CACNA1S	hsa04024	--gt	P
PRKACB	CACNA1C	hsa04024	--gt	P
PRKACB	CACNA1D	hsa04024	--gt	P
PRKACB	CACNA1F	hsa04024	--gt	P
PRKACB	CACNA1S	hsa04024	--gt	P
PRKACG	CACNA1C	hsa04024	--gt	P
PRKACG	CACNA1D	hsa04024	--gt	P
PRKACG	CACNA1F	hsa04024	--gt	P
PRKACG	CACNA1S	hsa04024	--gt	P
FXYD1	ATP1B4	hsa04024	---	C
FXYD1	ATP1A1	hsa04024	---	C
FXYD1	ATP1A2	hsa04024	---	C
FXYD1	ATP1A3	hsa04024	---	C
FXYD1	ATP1A4	hsa04024	---	C
FXYD1	ATP1B1	hsa04024	---	C
FXYD1	ATP1B2	hsa04024	---	C
FXYD1	ATP1B3	hsa04024	---	C
FXYD1	FXYD2	hsa04024	---	C
CREB3	BDNF	hsa04024	--gt	P
CREB1	BDNF	hsa04024	--gt	P
CREB3L4	BDNF	hsa04024	--gt	P
CREB3L2	BDNF	hsa04024	--gt	P
CREB3L3	BDNF	hsa04024	--gt	P
CREB3L1	BDNF	hsa04024	--gt	P
CREB5	BDNF	hsa04024	--gt	P
CREB3	FOS	hsa04024	--gt	P
CREB1	FOS	hsa04024	--gt	P
CREB3L4	FOS	hsa04024	--gt	P
CREB3L2	FOS	hsa04024	--gt	P
CREB3L3	FOS	hsa04024	--gt	P
CREB3L1	FOS	hsa04024	--gt	P
CREB5	FOS	hsa04024	--gt	P
CREB3	JUN	hsa04024	--gt	P
CREB1	JUN	hsa04024	--gt	P
CREB3L4	JUN	hsa04024	--gt	P
CREB3L2	JUN	hsa04024	--gt	P
CREB3L3	JUN	hsa04024	--gt	P
CREB3L1	JUN	hsa04024	--gt	P
CREB5	JUN	hsa04024	--gt	P
GLI3	GLI1	hsa04024	--gt	P
GLI3	PTCH1	hsa04024	--gt	P
GLI3	HHIP	hsa04024	--gt	P
NFKB1	AMH	hsa04024	--gt	P
RELA	AMH	hsa04024	--gt	P
SOX9	AMH	hsa04024	--gt	P
PPARA	ACOX1	hsa04024	--gt	P
PPARA	ACOX3	hsa04024	--gt	P
NFATC1	F2R	hsa04024	--gt	P
PRKACA	PDE10A	hsa04024	--gt	P
PRKACA	PDE3A	hsa04024	--gt	P
PRKACA	PDE3B	hsa04024	--gt	P
PRKACA	PDE4A	hsa04024	--gt	P
PRKACA	PDE4B	hsa04024	--gt	P
PRKACA	PDE4C	hsa04024	--gt	P
PRKACA	PDE4D	hsa04024	--gt	P
PRKACB	PDE10A	hsa04024	--gt	P
PRKACB	PDE3A	hsa04024	--gt	P
PRKACB	PDE3B	hsa04024	--gt	P
PRKACB	PDE4A	hsa04024	--gt	P
PRKACB	PDE4B	hsa04024	--gt	P
PRKACB	PDE4C	hsa04024	--gt	P
PRKACB	PDE4D	hsa04024	--gt	P
PRKACG	PDE10A	hsa04024	--gt	P
PRKACG	PDE3A	hsa04024	--gt	P
PRKACG	PDE3B	hsa04024	--gt	P
PRKACG	PDE4A	hsa04024	--gt	P
PRKACG	PDE4B	hsa04024	--gt	P
PRKACG	PDE4C	hsa04024	--gt	P
PRKACG	PDE4D	hsa04024	--gt	P
ARAP3	RHOA	hsa04024	--|	N
PIK3CA	AKT3	hsa04024	--gt	P
PIK3CA	AKT1	hsa04024	--gt	P
PIK3CA	AKT2	hsa04024	--gt	P
PIK3CB	AKT3	hsa04024	--gt	P
