gene1	gene2	interaction	type	type.1
MAPK3	PLA2G4C	hsa04010	+p	M
MAPK3	JMJD7-PLA2G4B	hsa04010	+p	M
MAPK1	MKNK2	hsa04010	+p	M
MAPK1	MKNK1	hsa04010	+p	M
MAPK3	MKNK2	hsa04010	+p	M
MAPK3	MKNK1	hsa04010	+p	M
MAPK1	RPS6KA6	hsa04010	+p	M
MAPK1	RPS6KA1	hsa04010	+p	M
MAPK1	RPS6KA2	hsa04010	+p	M
MAPK1	RPS6KA3	hsa04010	+p	M
MAPK3	RPS6KA6	hsa04010	+p	M
MAPK3	RPS6KA1	hsa04010	+p	M
MAPK3	RPS6KA2	hsa04010	+p	M
MAPK3	RPS6KA3	hsa04010	+p	M
MAPK1	ELK1	hsa04010	+p	M
MAPK3	ELK1	hsa04010	+p	M
MAPK1	ELK4	hsa04010	+p	M
MAPK3	ELK4	hsa04010	+p	M
MKNK2	ATF4	hsa04010	+p	M
MKNK1	ATF4	hsa04010	+p	M
RPS6KA6	ATF4	hsa04010	+p	M
RPS6KA1	ATF4	hsa04010	+p	M
RPS6KA2	ATF4	hsa04010	+p	M
RPS6KA3	ATF4	hsa04010	+p	M
MAPK1	MYC	hsa04010	+p	M
MAPK3	MYC	hsa04010	+p	M
RAC1	MAP3K1	hsa04010	--gt	P
RAC2	MAP3K1	hsa04010	--gt	P
RAC3	MAP3K1	hsa04010	--gt	P
CDC42	MAP3K1	hsa04010	--gt	P
RAC1	PAK1	hsa04010	--gt	P
RAC1	PAK2	hsa04010	--gt	P
RAC2	PAK1	hsa04010	--gt	P
RAC2	PAK2	hsa04010	--gt	P
RAC3	PAK1	hsa04010	--gt	P
RAC3	PAK2	hsa04010	--gt	P
CDC42	PAK1	hsa04010	--gt	P
CDC42	PAK2	hsa04010	--gt	P
CASP3	STK3	hsa04010	--gt	P
CASP3	STK4	hsa04010	--gt	P
TRAF2	MAP4K2	hsa04010	--gt	P
TRAF2	MAP3K5	hsa04010	--gt	P
TRAF2	MAP3K1	hsa04010	--gt	P
DAXX	MAP3K5	hsa04010	--gt	P
GADD45G	MAP3K4	hsa04010	--gt	P
GADD45A	MAP3K4	hsa04010	--gt	P
GADD45B	MAP3K4	hsa04010	--gt	P
PAK1	MAP3K2	hsa04010	+p	M
PAK1	MAP3K3	hsa04010	+p	M
PAK2	MAP3K2	hsa04010	+p	M
PAK2	MAP3K3	hsa04010	+p	M
MAP4K1	MAP3K11	hsa04010	+p	M
MAP4K4	MAP3K1	hsa04010	+p	M
MAP4K3	MAP3K1	hsa04010	+p	M
MAP3K12	MAP2K7	hsa04010	+p	M
MAP3K13	MAP2K7	hsa04010	+p	M
MAP3K5	MAP2K3	hsa04010	+p	M
MAP3K5	MAP2K6	hsa04010	+p	M
MAP3K7	MAP3K14	hsa04010	+p	M
MAP3K7	CHUK	hsa04010	+p	M
MAP3K7	IKBKB	hsa04010	+p	M
MAP3K7	IKBKG	hsa04010	+p	M
MAP3K7	MAP2K3	hsa04010	+p	M
MAP3K7	MAP2K6	hsa04010	+p	M
MAP3K7	NLK	hsa04010	+p	M
MAP3K6	MAP2K3	hsa04010	+p	M
MAP3K6	MAP2K6	hsa04010	+p	M
MAP2K3	MAPK14	hsa04010	+p	M
MAP2K3	MAPK11	hsa04010	+p	M
MAP2K3	MAPK13	hsa04010	+p	M
MAP2K3	MAPK12	hsa04010	+p	M
MAP2K6	MAPK14	hsa04010	+p	M
MAP2K6	MAPK11	hsa04010	+p	M
MAP2K6	MAPK13	hsa04010	+p	M
MAP2K6	MAPK12	hsa04010	+p	M
MAPK14	ATF2	hsa04010	+p	M
MAPK11	ATF2	hsa04010	+p	M
MAPK13	ATF2	hsa04010	+p	M
MAPK12	ATF2	hsa04010	+p	M
MAPK14	ELK1	hsa04010	+p	M
MAPK11	ELK1	hsa04010	+p	M
MAPK13	ELK1	hsa04010	+p	M
MAPK12	ELK1	hsa04010	+p	M
MAPK14	TP53	hsa04010	+p	M
MAPK11	TP53	hsa04010	+p	M
MAPK13	TP53	hsa04010	+p	M
MAPK12	TP53	hsa04010	+p	M
MAPK14	ELK4	hsa04010	+p	M
MAPK11	ELK4	hsa04010	+p	M
MAPK13	ELK4	hsa04010	+p	M
MAPK12	ELK4	hsa04010	+p	M
MAPK14	DDIT3	hsa04010	+p	M
MAPK11	DDIT3	hsa04010	+p	M
MAPK13	DDIT3	hsa04010	+p	M
MAPK12	DDIT3	hsa04010	+p	M
MAPK14	MAX	hsa04010	+p	M
MAPK11	MAX	hsa04010	+p	M
MAPK13	MAX	hsa04010	+p	M
MAPK12	MAX	hsa04010	+p	M
MAPK14	MEF2C	hsa04010	+p	M
MAPK11	MEF2C	hsa04010	+p	M
MAPK13	MEF2C	hsa04010	+p	M
MAPK12	MEF2C	hsa04010	+p	M
MAPK14	MAPKAPK5	hsa04010	+p	M
MAPK11	MAPKAPK5	hsa04010	+p	M
MAPK13	MAPKAPK5	hsa04010	+p	M
MAPK12	MAPKAPK5	hsa04010	+p	M
